10.000000 4.000000 4.000000 1.000000
0.285620 0.990559 0.746739 0.064977 
0.858726 0.648530 0.410627 0.825772 
0.847781 0.990044 0.608171 0.924104 
0.524355 0.051282 0.852084 0.565749 
10.000000 4.000000 4.000000 1.000000
0.285701 0.988005 0.744933 0.065684 
0.856706 0.648201 0.410845 0.823642 
0.846154 0.987777 0.607886 0.921980 
0.523009 0.052513 0.849755 0.564777 
10.000000 4.000000 4.000000 1.000000
0.285779 0.985459 0.743132 0.066387 
0.854693 0.647870 0.411059 0.821519 
0.844529 0.985517 0.607599 0.919861 
0.521668 0.053737 0.847435 0.563806 
10.000000 4.000000 4.000000 1.000000
0.285854 0.982921 0.741337 0.067084 
0.852686 0.647535 0.411270 0.819403 
0.842907 0.983265 0.607309 0.917748 
0.520331 0.054953 0.845123 0.562836 
10.000000 4.000000 4.000000 1.000000
0.285926 0.980391 0.739548 0.067777 
0.850685 0.647198 0.411477 0.817294 
0.841287 0.981020 0.607015 0.915640 
0.518998 0.056161 0.842820 0.561867 
10.000000 4.000000 4.000000 1.000000
0.285995 0.977869 0.737764 0.068465 
0.848689 0.646858 0.411681 0.815191 
0.839670 0.978783 0.606719 0.913538 
0.517670 0.057361 0.840524 0.560899 
10.000000 4.000000 4.000000 1.000000
0.286061 0.975354 0.735985 0.069148 
0.846700 0.646516 0.411881 0.813096 
0.838056 0.976553 0.606421 0.911442 
0.516347 0.058553 0.838237 0.559932 
10.000000 4.000000 4.000000 1.000000
0.286124 0.972848 0.734212 0.069827 
0.844717 0.646170 0.412078 0.811007 
0.836444 0.974330 0.606119 0.909350 
0.515028 0.059737 0.835958 0.558965 
10.000000 4.000000 4.000000 1.000000
0.286185 0.970349 0.732444 0.070500 
0.842740 0.645823 0.412271 0.808926 
0.834834 0.972115 0.605815 0.907265 
0.513714 0.060914 0.833687 0.557999 
10.000000 4.000000 4.000000 1.000000
0.286242 0.967858 0.730681 0.071169 
0.840769 0.645472 0.412461 0.806851 
0.833227 0.969907 0.605508 0.905185 
0.512404 0.062083 0.831424 0.557034 
