wallclock utime stime cpu memory io iow wallclock(hrs) utilisation memory(mem/cpu) uid
ci1vrs 14872564.000000 6353763.000000 159274.000000 8170985.000000 6731516.331000 0.000000 0.000000 4131.267778 0.833614 0.823832 63.000000
cia02njj 560825.000000 52775.000000 779.000000 163207.000000 56401.111000 0.000000 0.000000 155.784722 0.031434 0.345580 64.000000
cip03ms 2718.000000 0.000000 0.000000 0.000000 0.007000 0.000000 0.000000 0.755000 0.000152 0.000000 65.000000
cip03sdl 8747033.000000 3452355.000000 71813.000000 4974267.000000 4877305.785000 0.000000 0.000000 2429.731389 0.490275 0.980507 66.000000
cip03wd 487635.000000 283632.000000 3250.000000 366689.000000 1835014.618000 0.000000 0.000000 135.454167 0.027332 5.004281 67.000000
cip04zu 1652156.000000 460115.000000 178.000000 909853.000000 146378.342000 0.000000 0.000000 458.932222 0.092604 0.160881 68.000000
cip05yh 1322501.000000 1075629.000000 135248.000000 1210885.000000 846904.912000 0.000000 0.000000 367.361389 0.074127 0.699410 69.000000
cip06znd 182.000000 11.000000 1.000000 13.000000 19.315000 0.000000 0.000000 0.050556 0.000010 1.485769 70.000000
coa02rh 5860.000000 1991.000000 107.000000 2104.000000 829.234000 0.000000 0.000000 1.627778 0.000328 0.394123 71.000000
cop02as 5885837.000000 2320916.000000 3861.000000 2800202.000000 574924.745000 0.000000 0.000000 1634.954722 0.329904 0.205315 72.000000
cop02md 34059414.000000 13318681.000000 4671242.000000 19600387.000000 6733975.006000 0.000000 0.000000 9460.948333 1.909045 0.343563 73.000000
cop04kp 193859652.000000 86190249.000000 7382387.000000 119955560.000000 107184736.029000 0.000000 0.000000 53849.903333 10.865921 0.893537 74.000000
cop05vo 5340909.000000 1941101.000000 477126.000000 2418235.000000 2702517.880000 0.000000 0.000000 1483.585833 0.299360 1.117558 75.000000
coq05qh 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 76.000000
cpp03gsr 50681.000000 36369.000000 12946.000000 49340.000000 10215.684000 0.000000 0.000000 14.078056 0.002841 0.207047 77.000000
cpp03nap 8385.000000 11.000000 8.000000 2652.000000 1130.035000 0.000000 0.000000 2.329167 0.000470 0.426107 78.000000
cpp03vac 675115.000000 4431.000000 636.000000 89873.000000 146458.397000 0.000000 0.000000 187.531944 0.037840 1.629615 79.000000
cpp04ap 5156174.000000 1025934.000000 6488.000000 1470651.000000 707994.410000 0.000000 0.000000 1432.270556 0.289006 0.481416 80.000000
cpp04hcb 5509121.000000 289937.000000 1949.000000 1981709.000000 4683161.509000 0.000000 0.000000 1530.311389 0.308789 2.363193 81.000000
cpp04mhi 29387.000000 19.000000 1.000000 370.000000 216.542000 0.000000 0.000000 8.163056 0.001647 0.585249 82.000000
cpp04tjc 1487061.000000 567998.000000 4498.000000 682308.000000 2358519.151000 0.000000 0.000000 413.072500 0.083350 3.456678 83.000000
cpp05kwc 16150585.000000 3070454.000000 19535.000000 8908315.000000 749176.080000 0.000000 0.000000 4486.273611 0.905248 0.084099 84.000000
cpp05pjg 21786.000000 25.000000 2.000000 29.000000 41.056000 0.000000 0.000000 6.051667 0.001221 1.415724 85.000000
cpp06ejg 57952.000000 356.000000 16.000000 593.000000 1240.232000 0.000000 0.000000 16.097778 0.003248 2.091454 86.000000
cpq05wc 48005.000000 106.000000 24.000000 22424.000000 13093.505000 0.000000 0.000000 13.334722 0.002691 0.583906 87.000000
cs1ac 26661.000000 10.000000 3.000000 32.000000 17.679000 0.000000 0.000000 7.405833 0.001494 0.552469 88.000000
cs1ajb 45789.000000 2.000000 0.000000 19.000000 6.115000 0.000000 0.000000 12.719167 0.002566 0.321842 89.000000
cs1dgw 13760.000000 29.000000 1.000000 54.000000 74.974000 0.000000 0.000000 3.822222 0.000771 1.388407 90.000000
cs1ds 618208.000000 227.000000 62.000000 403.000000 444.480000 0.000000 0.000000 171.724444 0.034651 1.102928 91.000000
cs1ibo 714.000000 0.000000 0.000000 0.000000 0.004000 0.000000 0.000000 0.198333 0.000040 0.000000 92.000000
cs1mjw 5.000000 0.000000 0.000000 0.000000 0.003000 0.000000 0.000000 0.001389 0.000000 0.000000 93.000000
cs1mkg 3096795.000000 903686.000000 59418.000000 1196144.000000 108466.334000 0.000000 0.000000 860.220833 0.173577 0.090680 94.000000
cs4un11 5453669.000000 3622931.000000 256506.000000 4096477.000000 177406.678000 0.000000 0.000000 1514.908056 0.305681 0.043307 95.000000
cs4un12 11613.000000 66.000000 0.000000 67.000000 1.483000 0.000000 0.000000 3.225833 0.000651 0.022134 96.000000
cs4un16 4701694.000000 1881101.000000 215.000000 1920889.000000 14059.608000 0.000000 0.000000 1306.026111 0.263532 0.007319 97.000000
cs4un18 3.000000 0.000000 0.000000 0.000000 0.003000 0.000000 0.000000 0.000833 0.000000 0.000000 98.000000
cs4un2 11509.000000 0.000000 0.000000 22.000000 2.390000 0.000000 0.000000 3.196944 0.000645 0.108636 99.000000
cs4un3 9792.000000 1.000000 1.000000 21.000000 18.394000 0.000000 0.000000 2.720000 0.000549 0.875905 100.000000
cs4un5 6055877.000000 3337254.000000 308033.000000 4098768.000000 169583.568000 0.000000 0.000000 1682.188056 0.339435 0.041374 101.000000
cs4un6 14464.000000 74.000000 2.000000 78.000000 20.074000 0.000000 0.000000 4.017778 0.000811 0.257359 102.000000
cs6grid 203.000000 144.000000 0.000000 149.000000 171.394000 0.000000 0.000000 0.056389 0.000011 1.150295 103.000000
el1ag 706320.000000 314.000000 155.000000 416188.000000 1127920.070000 0.000000 0.000000 196.200000 0.039590 2.710122 104.000000
el1gxw 2965.000000 0.000000 0.000000 14.000000 6.652000 0.000000 0.000000 0.823611 0.000166 0.475143 105.000000
el1jjr 448889.000000 925.000000 57.000000 1600.000000 1781.721000 0.000000 0.000000 124.691389 0.025160 1.113576 106.000000
el1ll 350429.000000 228.000000 30.000000 617.000000 1097.463000 0.000000 0.000000 97.341389 0.019642 1.778708 107.000000
el1pb 278155.000000 69.000000 18.000000 373.000000 327.076000 0.000000 0.000000 77.265278 0.015591 0.876879 108.000000
elp04mjw 10735.000000 26.000000 10.000000 62.000000 59.076000 0.000000 0.000000 2.981944 0.000602 0.952839 109.000000
elp04sl 3565348.000000 2392240.000000 422.000000 2417833.000000 17913.696000 0.000000 0.000000 990.374444 0.199839 0.007409 110.000000
elp05ast 151920.000000 20.000000 3.000000 1336.000000 1477.258000 0.000000 0.000000 42.200000 0.008515 1.105732 111.000000
elp05kdw 146948.000000 63552.000000 2456.000000 78771.000000 55735.258000 0.000000 0.000000 40.818889 0.008237 0.707561 112.000000
elp06db 7293.000000 13.000000 12.000000 41.000000 2.111000 0.000000 0.000000 2.025833 0.000409 0.051488 113.000000
elp06sdd 15099.000000 300.000000 10.000000 344.000000 261.383000 0.000000 0.000000 4.194167 0.000846 0.759834 114.000000
elp96sdc 29333.000000 0.000000 0.000000 24403.000000 42378.002000 0.000000 0.000000 8.148056 0.001644 1.736590 115.000000
elp97djp 149999.000000 1.000000 0.000000 771.000000 903.850000 0.000000 0.000000 41.666389 0.008408 1.172309 116.000000
fc1bnh 417575.000000 7233.000000 739.000000 145123.000000 335648.658000 0.000000 0.000000 115.993056 0.023405 2.312856 117.000000
fc1vt 4678.000000 11.000000 4.000000 18.000000 1.812000 0.000000 0.000000 1.299444 0.000262 0.100667 118.000000
fc1wbz 36682.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 10.189444 0.002056 0.000000 119.000000
fc1yby 61294.000000 2773.000000 36.000000 2839.000000 227.855000 0.000000 0.000000 17.026111 0.003436 0.080259 120.000000
gg1eh 43817.000000 3294.000000 119.000000 3425.000000 490.007000 0.000000 0.000000 12.171389 0.002456 0.143068 121.000000
gg1rcl 1266957.000000 13677.000000 1552.000000 19570.000000 10631.038000 0.000000 0.000000 351.932500 0.071014 0.543231 122.000000
ggp03ac 157877.000000 18.000000 2.000000 167.000000 10.296000 0.000000 0.000000 43.854722 0.008849 0.061653 123.000000
ggp05cj 86.000000 68.000000 0.000000 68.000000 0.013000 0.000000 0.000000 0.023889 0.000005 0.000191 124.000000
li1mxw 2419088.000000 480800.000000 2357.000000 488795.000000 4927.375000 0.000000 0.000000 671.968889 0.135591 0.010081 125.000000
lip05hp 530913.000000 155235.000000 5271.000000 258974.000000 590034.490000 0.000000 0.000000 147.475833 0.029758 2.278354 126.000000
lip06gp 3805.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.056944 0.000213 0.000000 127.000000
lip06rlm 93100.000000 7369.000000 4361.000000 11732.000000 1207.736000 0.000000 0.000000 25.861111 0.005218 0.102944 128.000000
mb1nam 28489619.000000 11882764.000000 17133.000000 12282901.000000 604076.287000 0.000000 0.000000 7913.783056 1.596856 0.049180 129.000000
mbp04mf 530125.000000 0.000000 32.000000 73.000000 59.265000 0.000000 0.000000 147.256944 0.029714 0.811849 130.000000
md1ly 89.000000 0.000000 0.000000 0.000000 0.003000 0.000000 0.000000 0.024722 0.000005 0.000000 131.000000
md1nds 9913.000000 10.000000 10.000000 31.000000 0.681000 0.000000 0.000000 2.753611 0.000556 0.021968 132.000000
md1rdw 1522189.000000 1056323.000000 288.000000 1057703.000000 1247382.427000 0.000000 0.000000 422.830278 0.085319 1.179331 133.000000
mdp05wl 810291.000000 604601.000000 262.000000 604866.000000 25830.562000 0.000000 0.000000 225.080833 0.045417 0.042705 134.000000
mdp06kjc 43034.000000 57.000000 96.000000 387.000000 557.000000 0.000000 0.000000 11.953889 0.002412 1.439276 135.000000
me1ay 1803995.000000 752306.000000 2545.000000 800802.000000 116335.292000 0.000000 0.000000 501.109722 0.101115 0.145273 136.000000
me1csl 104317.000000 410.000000 78.000000 3126.000000 284.981000 0.000000 0.000000 28.976944 0.005847 0.091165 137.000000
me1db 66306.000000 3881.000000 412.000000 4332.000000 7746.835000 0.000000 0.000000 18.418333 0.003716 1.788281 138.000000
me1fcgan 1334396.000000 450654.000000 7634.000000 459874.000000 383327.541000 0.000000 0.000000 370.665556 0.074793 0.833549 139.000000
me1jhl 1785414.000000 53882.000000 20873.000000 186371.000000 317685.457000 0.000000 0.000000 495.948333 0.100073 1.704586 140.000000
me1jmm 286136.000000 39593.000000 2041.000000 50456.000000 155006.482000 0.000000 0.000000 79.482222 0.016038 3.072112 141.000000
me1jw 652923.000000 37941.000000 1232.000000 40186.000000 5919.768000 0.000000 0.000000 181.367500 0.036597 0.147309 142.000000
me1nds 165238.000000 1127.000000 112.000000 3056.000000 4090.476000 0.000000 0.000000 45.899444 0.009262 1.338507 143.000000
me1ord 3719732.000000 725603.000000 7060.000000 961856.000000 854745.652000 0.000000 0.000000 1033.258889 0.208493 0.888642 144.000000
me1rjb 213791.000000 151.000000 61.000000 1287.000000 966.487000 0.000000 0.000000 59.386389 0.011983 0.750961 145.000000
me1rjh 7.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001944 0.000000 0.000000 146.000000
me1sbx 583441.000000 1004.000000 348.000000 254888.000000 332822.096000 0.000000 0.000000 162.066944 0.032702 1.305758 147.000000
me1sgb 961544.000000 266897.000000 5184.000000 320787.000000 33201.570000 0.000000 0.000000 267.095556 0.053895 0.103500 148.000000
me1xmas 211161.000000 164157.000000 8334.000000 175757.000000 55418.166000 0.000000 0.000000 58.655833 0.011836 0.315311 149.000000
mea01bls 23321857.000000 8769349.000000 148446.000000 11353140.000000 5724839.613000 0.000000 0.000000 6478.293611 1.307201 0.504252 150.000000
mea02jc 258294.000000 265.000000 71.000000 1266.000000 1329.544000 0.000000 0.000000 71.748333 0.014477 1.050193 151.000000
mea02pjh 8240751.000000 2816573.000000 99578.000000 2942788.000000 426256.077000 0.000000 0.000000 2289.097500 0.461898 0.144848 152.000000
mea02sdp 18583.000000 381.000000 54.000000 934.000000 1108.138000 0.000000 0.000000 5.161944 0.001042 1.186443 153.000000
mea03ahc 46706.000000 369.000000 62.000000 515.000000 594.293000 0.000000 0.000000 12.973889 0.002618 1.153967 154.000000
mea03ahj 105919.000000 0.000000 0.000000 4.000000 0.135000 0.000000 0.000000 29.421944 0.005937 0.033750 155.000000
mea03cal 7271410.000000 3253654.000000 88584.000000 3874163.000000 7066548.144000 0.000000 0.000000 2019.836111 0.407566 1.824019 156.000000
mea03cdj 279832.000000 12140.000000 1655.000000 33203.000000 23762.895000 0.000000 0.000000 77.731111 0.015685 0.715685 157.000000
mea03cp 219874.000000 14719.000000 891.000000 20486.000000 2803.105000 0.000000 0.000000 61.076111 0.012324 0.136830 158.000000
mea03crp 117251.000000 1743.000000 154.000000 2837.000000 4080.762000 0.000000 0.000000 32.569722 0.006572 1.438407 159.000000
mea03csm 57212.000000 1385.000000 218.000000 5570.000000 6781.961000 0.000000 0.000000 15.892222 0.003207 1.217587 160.000000
mea03czl 35452.000000 1.000000 0.000000 28849.000000 27988.338000 0.000000 0.000000 9.847778 0.001987 0.970167 161.000000
mea03drj 98258.000000 510.000000 96.000000 1100.000000 1187.815000 0.000000 0.000000 27.293889 0.005507 1.079832 162.000000
mea03ejs 3940335.000000 729612.000000 18058.000000 994653.000000 63425.285000 0.000000 0.000000 1094.537500 0.220858 0.063766 163.000000
mea03gb 96147.000000 9706.000000 3500.000000 37900.000000 46412.732000 0.000000 0.000000 26.707500 0.005389 1.224610 164.000000
mea03gs 34323.000000 306.000000 56.000000 1217.000000 1311.789000 0.000000 0.000000 9.534167 0.001924 1.077887 165.000000
mea03jdg 39.000000 0.000000 0.000000 0.000000 0.001000 0.000000 0.000000 0.010833 0.000002 0.000000 166.000000
mea03jme 12.000000 0.000000 0.000000 0.000000 0.001000 0.000000 0.000000 0.003333 0.000001 0.000000 167.000000
mea03jwh 101735.000000 293.000000 36.000000 428.000000 474.931000 0.000000 0.000000 28.259722 0.005702 1.109652 168.000000
mea03kh 59265291.000000 30029555.000000 111703.000000 47384192.000000 12517100.953000 0.000000 0.000000 16462.580833 3.321846 0.264162 169.000000
mea03kl 79132.000000 20.000000 4.000000 129.000000 124.977000 0.000000 0.000000 21.981111 0.004435 0.968814 170.000000
mea03ldc 19224.000000 6472.000000 1966.000000 8458.000000 10371.501000 0.000000 0.000000 5.340000 0.001078 1.226236 171.000000
mea03mh 10606459.000000 6681591.000000 19072.000000 7368000.000000 648635.000000 0.000000 0.000000 2946.238611 0.594497 0.088034 172.000000
mea03mjf 4310470.000000 2625977.000000 7369.000000 2815043.000000 231427.618000 0.000000 0.000000 1197.352778 0.241604 0.082211 173.000000
mea03mjh 425718.000000 17838.000000 362.000000 67904.000000 6033.119000 0.000000 0.000000 118.255000 0.023862 0.088848 174.000000
mea03mrd 282314.000000 0.000000 0.000000 436.000000 470.905000 0.000000 0.000000 78.420556 0.015824 1.080057 175.000000
mea03naj 127989.000000 652.000000 133.000000 22516.000000 1960.262000 0.000000 0.000000 35.552500 0.007174 0.087061 176.000000
mea03ned 688242.000000 48059.000000 6236.000000 106766.000000 128950.547000 0.000000 0.000000 191.178333 0.038576 1.207787 177.000000
mea03njd 31210.000000 7.000000 1.000000 1582.000000 1893.636000 0.000000 0.000000 8.669444 0.001749 1.196989 178.000000
mea03njp 503245.000000 2838.000000 543.000000 7175.000000 11680.897000 0.000000 0.000000 139.790278 0.028207 1.628000 179.000000
mea03sk 1956975.000000 460490.000000 17730.000000 698474.000000 715360.030000 0.000000 0.000000 543.604167 0.109689 1.024176 180.000000
mea03sw 145680.000000 16271.000000 149.000000 34705.000000 4234.013000 0.000000 0.000000 40.466667 0.008165 0.122000 181.000000
mea03ta 64592.000000 848.000000 133.000000 1119.000000 1406.447000 0.000000 0.000000 17.942222 0.003620 1.256878 182.000000
mea03trb 13095.000000 160.000000 23.000000 225.000000 130.727000 0.000000 0.000000 3.637500 0.000734 0.581009 183.000000
mea03uam 404751.000000 753.000000 165.000000 2213.000000 296.911000 0.000000 0.000000 112.430833 0.022686 0.134167 184.000000
mea04ad 138023.000000 975.000000 126.000000 2209.000000 2454.043000 0.000000 0.000000 38.339722 0.007736 1.110929 185.000000
mea04adp 121367.000000 261.000000 41.000000 984.000000 1108.067000 0.000000 0.000000 33.713056 0.006803 1.126084 186.000000
mea04ajb 58296.000000 512.000000 152.000000 873.000000 1315.615000 0.000000 0.000000 16.193333 0.003268 1.507005 187.000000
mea04ams 164868.000000 857.000000 137.000000 1349.000000 1493.825000 0.000000 0.000000 45.796667 0.009241 1.107357 188.000000
mea04aqc 7350.000000 11.000000 1.000000 204.000000 234.260000 0.000000 0.000000 2.041667 0.000412 1.148333 189.000000
mea04asi 912.000000 1.000000 0.000000 4.000000 1.595000 0.000000 0.000000 0.253333 0.000051 0.398750 190.000000
mea04cal 274342.000000 1067.000000 236.000000 2078.000000 2290.302000 0.000000 0.000000 76.206111 0.015377 1.102167 191.000000
mea04cw 71359.000000 253.000000 56.000000 959.000000 1083.948000 0.000000 0.000000 19.821944 0.004000 1.130290 192.000000
mea04db 24772.000000 79.000000 14.000000 152.000000 137.148000 0.000000 0.000000 6.881111 0.001388 0.902289 193.000000
mea04dc 177629.000000 1735.000000 1237.000000 3157.000000 3809.892000 0.000000 0.000000 49.341389 0.009956 1.206808 194.000000
mea04dg 206319.000000 2041.000000 192.000000 6452.000000 7656.888000 0.000000 0.000000 57.310833 0.011564 1.186746 195.000000
mea04dl 15330.000000 0.000000 0.000000 30.000000 20.248000 0.000000 0.000000 4.258333 0.000859 0.674933 196.000000
mea04dmj 140340.000000 3556.000000 117.000000 11080.000000 10440.211000 0.000000 0.000000 38.983333 0.007866 0.942257 197.000000
mea04dsa 626167.000000 1029.000000 179.000000 2057.000000 2311.334000 0.000000 0.000000 173.935278 0.035097 1.123643 198.000000
mea04ftb 181385.000000 1137.000000 231.000000 2674.000000 2963.916000 0.000000 0.000000 50.384722 0.010167 1.108420 199.000000
mea04gt 56065.000000 436.000000 80.000000 945.000000 932.934000 0.000000 0.000000 15.573611 0.003142 0.987232 200.000000
mea04hpb 503442.000000 12626.000000 505.000000 23231.000000 28138.479000 0.000000 0.000000 139.845000 0.028218 1.211247 201.000000
mea04hzl 64319.000000 567.000000 90.000000 1007.000000 1111.222000 0.000000 0.000000 17.866389 0.003605 1.103498 202.000000
mea04ia 350257.000000 1586.000000 393.000000 2819.000000 3687.605000 0.000000 0.000000 97.293611 0.019632 1.308125 203.000000
mea04jam 204415.000000 843.000000 113.000000 2008.000000 2339.261000 0.000000 0.000000 56.781944 0.011458 1.164971 204.000000
mea04jes 101561.000000 393.000000 65.000000 1671.000000 1942.811000 0.000000 0.000000 28.211389 0.005693 1.162664 205.000000
mea04jhl 254743.000000 981.000000 242.000000 1664.000000 1636.921000 0.000000 0.000000 70.761944 0.014278 0.983727 206.000000
mea04jlh 129633.000000 800.000000 229.000000 2800.000000 3164.231000 0.000000 0.000000 36.009167 0.007266 1.130083 207.000000
mea04jms 277233.000000 5824.000000 804.000000 9797.000000 11795.473000 0.000000 0.000000 77.009167 0.015539 1.203988 208.000000
mea04jrt 210714.000000 994.000000 241.000000 3607.000000 4283.880000 0.000000 0.000000 58.531667 0.011811 1.187657 209.000000
mea04jws 95874.000000 111.000000 21.000000 965.000000 967.073000 0.000000 0.000000 26.631667 0.005374 1.002148 210.000000
mea04kee 43617.000000 158.000000 30.000000 320.000000 359.456000 0.000000 0.000000 12.115833 0.002445 1.123300 211.000000
