!
! Magnetic field due to a coil with:
! 	rCoil = 4.000000e+006 m
! 	ICoil = 1.500000e+009 A
! 	rEarth = 6.371000e+006 m
!
! Grid parameters:
! 	xMin = -10.000000 Re	xMax = 10.000000 Re	dx = 0.500000 Re	nx = 41
! 	yMin = -10.000000 Re	yMax = 10.000000 Re	dy = 0.500000 Re	ny = 41
! 	zMin = -10.000000 Re	zMax = 10.000000 Re	dz = 0.500000 Re	nz = 41
!
! The data are in the order:
! 	x	y	z	Bx	By	Bz
!
! x, y, z are measured in Earth radii
! Bx, By, Bz have units of microTesla (10^-6 T).
!
! This is COLUMN major format.
!
! Min and max points
-10.0 -10.0 -10.0
 10.0  10.0  10.0
 -5.614274e-003 -5.614274e-003 -8.609813e-006
 -5.792536e-003 -6.097407e-003 -2.076287e-004
 -5.950169e-003 -6.611299e-003 -4.290995e-004
 -6.081721e-003 -7.154966e-003 -6.732067e-004
 -6.181304e-003 -7.726629e-003 -9.396224e-004
 -6.242696e-003 -8.323595e-003 -1.227401e-003
 -6.259495e-003 -8.942136e-003 -1.534880e-003
 -6.225312e-003 -9.577403e-003 -1.859589e-003
 -6.134017e-003 -1.022336e-002 -2.198182e-003
 -5.980028e-003 -1.087278e-002 -2.546400e-003
 -5.758629e-003 -1.151726e-002 -2.899081e-003
 -5.466311e-003 -1.214736e-002 -3.250212e-003
 -5.101107e-003 -1.275277e-002 -3.593051e-003
 -4.662906e-003 -1.332259e-002 -3.920307e-003
 -4.153696e-003 -1.384565e-002 -4.224386e-003
 -3.577739e-003 -1.431096e-002 -4.497686e-003
 -2.941618e-003 -1.470809e-002 -4.732938e-003
 -2.254156e-003 -1.502770e-002 -4.923554e-003
 -1.526198e-003 -1.526198e-002 -5.063978e-003
 -7.702500e-004 -1.540500e-002 -5.149993e-003
 +0.000000e+000 -1.545309e-002 -5.178964e-003
 +7.702500e-004 -1.540500e-002 -5.149993e-003
 +1.526198e-003 -1.526198e-002 -5.063978e-003
 +2.254156e-003 -1.502770e-002 -4.923554e-003
 +2.941618e-003 -1.470809e-002 -4.732938e-003
 +3.577739e-003 -1.431096e-002 -4.497686e-003
 +4.153696e-003 -1.384565e-002 -4.224386e-003
 +4.662906e-003 -1.332259e-002 -3.920307e-003
 +5.101107e-003 -1.275277e-002 -3.593051e-003
 +5.466311e-003 -1.214736e-002 -3.250212e-003
 +5.758629e-003 -1.151726e-002 -2.899081e-003
 +5.980028e-003 -1.087278e-002 -2.546400e-003
 +6.134017e-003 -1.022336e-002 -2.198182e-003
 +6.225312e-003 -9.577403e-003 -1.859589e-003
 +6.259495e-003 -8.942136e-003 -1.534880e-003
 +6.242696e-003 -8.323595e-003 -1.227401e-003
 +6.181304e-003 -7.726629e-003 -9.396224e-004
 +6.081721e-003 -7.154966e-003 -6.732067e-004
 +5.950169e-003 -6.611299e-003 -4.290995e-004
 +5.792536e-003 -6.097407e-003 -2.076287e-004
 +5.614274e-003 -5.614274e-003 -8.609813e-006
 -6.097407e-003 -5.792536e-003 -2.076287e-004
 -6.308741e-003 -6.308741e-003 -4.420878e-004
 -6.498936e-003 -6.859988e-003 -7.035098e-004
 -6.661778e-003 -7.445517e-003 -9.923061e-004
 -6.790473e-003 -8.063687e-003 -1.308288e-003
 -6.877760e-003 -8.711829e-003 -1.650533e-003
 -6.916076e-003 -9.386103e-003 -2.017249e-003
 -6.897780e-003 -1.008137e-002 -2.405656e-003
 -6.815435e-003 -1.079111e-002 -2.811885e-003
 -6.662154e-003 -1.150736e-002 -3.230917e-003
 -6.431983e-003 -1.222077e-002 -3.656575e-003
 -6.120331e-003 -1.292070e-002 -4.081580e-003
 -5.724383e-003 -1.359541e-002 -4.497686e-003
 -5.243509e-003 -1.423238e-002 -4.895901e-003
 -4.679589e-003 -1.481870e-002 -5.266784e-003
 -4.037246e-003 -1.534154e-002 -5.600827e-003
 -3.323936e-003 -1.578870e-002 -5.888884e-003
 -2.549872e-003 -1.614919e-002 -6.122634e-003
 -1.727765e-003 -1.641377e-002 -6.295031e-003
 -8.723914e-004 -1.657544e-002 -6.400712e-003
 +0.000000e+000 -1.662982e-002 -6.436319e-003
 +8.723914e-004 -1.657544e-002 -6.400712e-003
 +1.727765e-003 -1.641377e-002 -6.295031e-003
 +2.549872e-003 -1.614919e-002 -6.122634e-003
 +3.323936e-003 -1.578870e-002 -5.888884e-003
 +4.037246e-003 -1.534154e-002 -5.600827e-003
 +4.679589e-003 -1.481870e-002 -5.266784e-003
 +5.243509e-003 -1.423238e-002 -4.895901e-003
 +5.724383e-003 -1.359541e-002 -4.497686e-003
 +6.120331e-003 -1.292070e-002 -4.081580e-003
 +6.431983e-003 -1.222077e-002 -3.656575e-003
 +6.662154e-003 -1.150736e-002 -3.230917e-003
 +6.815435e-003 -1.079111e-002 -2.811885e-003
 +6.897780e-003 -1.008137e-002 -2.405656e-003
 +6.916076e-003 -9.386103e-003 -2.017249e-003
 +6.877760e-003 -8.711829e-003 -1.650533e-003
 +6.790473e-003 -8.063687e-003 -1.308288e-003
 +6.661778e-003 -7.445517e-003 -9.923061e-004
 +6.498936e-003 -6.859988e-003 -7.035098e-004
 +6.308741e-003 -6.308741e-003 -4.420878e-004
 +6.097407e-003 -5.792536e-003 -2.076287e-004
 -6.611299e-003 -5.950169e-003 -4.290995e-004
 -6.859988e-003 -6.498936e-003 -7.035098e-004
 -7.087319e-003 -7.087319e-003 -1.010177e-003
 -7.286241e-003 -7.714843e-003 -1.349824e-003
 -7.448960e-003 -8.380080e-003 -1.722478e-003
